BU,TransCt,Ave Mo TransCt,Earliest Date,First module,Latest Date,Last module,Month Start,Month End,Months Active,Days Active,Month Last Active,Days Last Active,ActivePastMonths,ActiveLast3Mos,ActiveLast6Mos,ActiveLast9Mos,ActiveLast12Mos,NotActive,isAM,isWeekend,Plug Ct,BrandID
B313,32,8,28/03/2019, add_plug,29/06/2019, set_ssid,3,6,4,94,1,1,4,1,0,0,0,0,0,0,1,B
B315,82,20.5,28/03/2019, add_plug,20/06/2019, set_ssid,3,6,4,85,1,10,4,1,0,0,0,0,0,0,1,B
B316,3,3,28/03/2019, login,29/03/2019, registration,3,3,1,2,4,93,0,0,0,0,0,1,0,0,0,B
B317,54,13.5,29/03/2019, add_plug,25/06/2019, set_ssid,3,6,4,89,1,5,4,1,0,0,0,0,0,0,1,B
B318,40,40,29/03/2019, add_plug,30/03/2019, yearly_consumption,3,3,1,2,4,92,0,0,0,0,0,1,0,1,1,B
B319,206,51.5,29/03/2019, add_plug,29/06/2019, yearly_consumption,3,6,4,93,1,1,4,1,0,0,0,0,0,0,1,B
B32,583,72.875,30/11/2018, daily_consumption,29/06/2019, yearly_consumption,11,6,8,212,1,1,8,1,1,0,0,0,1,0,0,B
B320,92,30.66666667,29/03/2019, add_plug,12/05/2019, weekly_consumption,3,5,3,45,2,49,0,0,0,0,0,1,1,0,1,B
B327,205,51.25,30/03/2019, add_plug,10/06/2019, weekly_consumption,3,6,4,73,1,20,4,1,0,0,0,0,0,0,1,B
B328,99,49.5,30/03/2019, add_plug,30/04/2019, yearly_consumption,3,4,2,32,3,61,0,0,0,0,0,1,0,1,1,B
B329,171,57,30/03/2019, add_plug,27/05/2019, weekly_consumption,3,5,3,59,2,34,0,0,0,0,0,1,1,0,1,B
B330,403,100.75,30/03/2019, add_plug,23/06/2019, yearly_consumption,3,6,4,86,1,7,4,1,0,0,0,0,0,0,1,B
B331,341,85.25,30/03/2019, add_plug,30/06/2019, weekly_consumption,3,6,4,93,1,0,4,1,0,0,0,0,0,0,1,B
B332,7,7,30/03/2019, login,30/03/2019, registration,3,3,1,1,4,92,0,0,0,0,0,1,0,1,0,B
B333,153,38.25,30/03/2019, add_plug,19/06/2019, set_ssid,3,6,4,82,1,11,4,1,0,0,0,0,0,0,1,B
B334,55,27.5,30/03/2019, add_plug,05/04/2019, yearly_consumption,3,4,2,7,3,86,0,0,0,0,0,1,0,1,1,B
B344,82,20.5,30/03/2019, add_plug,15/06/2019, set_ssid,3,6,4,78,1,15,4,1,0,0,0,0,0,1,1,B
B345,278,69.5,30/03/2019, add_plug,19/06/2019, yearly_consumption,3,6,4,82,1,11,4,1,0,0,0,0,0,0,1,B
B346,133,33.25,31/03/2019, add_plug,27/06/2019, weekly_consumption,3,6,4,89,1,3,4,1,0,0,0,0,1,0,1,B
B347,45,22.5,31/03/2019, add_plug,13/04/2019, set_ssid,3,4,2,14,3,78,0,0,0,0,0,1,0,0,1,B
B348,1210,403.3333333,01/04/2019, add_plug,27/06/2019, yearly_consumption,4,6,3,88,1,3,3,1,0,0,0,0,0,0,1,B
B349,56,28,01/04/2019, add_plug,09/05/2019, yearly_consumption,4,5,2,39,2,52,0,0,0,0,0,1,0,0,1,B
B350,125,41.66666667,03/04/2019, add_plug,17/06/2019, set_ssid,4,6,3,76,1,13,3,1,0,0,0,0,0,0,1,B
B351,2,2,03/04/2019, olark_chat,03/04/2019, registration,4,4,1,1,3,88,0,0,0,0,0,1,0,0,0,B
B362,31,31,03/04/2019, add_plug,08/04/2019, set_ssid,4,4,1,6,3,83,0,0,0,0,0,1,1,0,1,B
B366,179,59.66666667,07/04/2019, add_plug,30/06/2019, set_ssid,4,6,3,85,1,0,3,1,0,0,0,0,0,0,1,B
B367,4,4,07/04/2019, login,07/04/2019, registration,4,4,1,1,3,84,0,0,0,0,0,1,0,1,0,B
B368,356,118.6666667,08/04/2019, add_plug,07/06/2019, yearly_consumption,4,6,3,61,1,23,3,1,0,0,0,0,0,0,1,B
B369,1,1,09/04/2019, registration,09/04/2019, registration,4,4,1,1,3,82,0,0,0,0,0,1,0,0,0,B
B370,23,7.666666667,10/04/2019, add_plug,11/06/2019, set_ssid,4,6,3,63,1,19,3,1,0,0,0,0,0,0,1,B
B371,1,1,11/04/2019, registration,11/04/2019, registration,4,4,1,1,3,80,0,0,0,0,0,1,1,0,0,B
B380,199,66.33333333,12/04/2019, add_plug,30/06/2019, set_ssid,4,6,3,80,1,0,3,1,0,0,0,0,1,0,1,B
B382,277,92.33333333,12/04/2019, add_plug,26/06/2019, weekly_consumption,4,6,3,76,1,4,3,1,0,0,0,0,0,0,1,B
B383,45,15,12/04/2019, add_plug,15/06/2019, set_ssid,4,6,3,65,1,15,3,1,0,0,0,0,0,0,1,B
B397,165,55,12/04/2019, add_plug,19/06/2019, weekly_consumption,4,6,3,69,1,11,3,1,0,0,0,0,0,0,1,B
B406,4,4,14/04/2019, logout,14/04/2019, registration,4,4,1,1,3,77,0,0,0,0,0,1,0,1,0,B
B41,37,9.25,01/12/2018, daily_consumption,30/03/2019, set_consumption_alert,12,3,4,120,4,92,0,0,0,0,0,1,1,0,1,B
B417,180,60,14/04/2019, add_plug,16/06/2019, weekly_consumption,4,6,3,64,1,14,3,1,0,0,0,0,0,0,1,B
B42,73,18.25,18/12/2018, add_plug,25/03/2019, set_ssid,12,3,4,98,4,97,0,0,0,0,0,1,0,0,1,B
B421,104,34.66666667,15/04/2019, add_plug,06/06/2019, weekly_consumption,4,6,3,53,1,24,3,1,0,0,0,0,0,0,1,B
B422,632,210.6666667,16/04/2019, add_plug,30/06/2019, yearly_consumption,4,6,3,76,1,0,3,1,0,0,0,0,0,0,1,B
B423,88,29.33333333,17/04/2019, add_plug,30/06/2019, yearly_consumption,4,6,3,75,1,0,3,1,0,0,0,0,0,0,1,B
B425,2,2,20/04/2019, login,20/04/2019, registration,4,4,1,1,3,71,0,0,0,0,0,1,1,1,0,B
B427,56,28,20/04/2019, add_plug,24/05/2019, set_ssid,4,5,2,35,2,37,0,0,0,0,0,1,0,1,1,B
B428,6,6,21/04/2019, add_plug,21/04/2019, set_ssid,4,4,1,1,3,70,0,0,0,0,0,1,0,1,1,B
B43,7,7,09/06/2019, add_plug,09/06/2019, add_plug,6,6,1,1,1,21,1,0,0,0,0,0,0,1,0,B
B430,45,45,22/04/2019, add_plug,22/04/2019, set_ssid,4,4,1,1,3,69,0,0,0,0,0,1,0,0,0,B
B431,824,274.6666667,22/04/2019, add_plug,30/06/2019, set_ssid,4,6,3,70,1,0,3,1,0,0,0,0,1,0,1,B
B432,59,29.5,22/04/2019, add_plug,14/05/2019, set_ssid,4,5,2,23,2,47,0,0,0,0,0,1,0,0,1,B
B434,46,23,23/04/2019, add_plug,16/05/2019, set_ssid,4,5,2,24,2,45,0,0,0,0,0,1,1,0,2,B
B439,56,56,23/04/2019, add_plug,24/04/2019, set_ssid,4,4,1,2,3,67,0,0,0,0,0,1,1,0,0,B
B44,279,34.875,30/11/2018, add_plug,30/06/2019, weekly_consumption,11,6,8,213,1,0,8,1,1,0,0,0,0,0,1,B
B444,121,40.33333333,23/04/2019, add_plug,18/06/2019, yearly_consumption,4,6,3,57,1,12,1,0,0,0,0,0,0,0,0,B
B447,3,3,23/04/2019, add_plug,23/04/2019, set_ssid,4,4,1,1,3,68,0,0,0,0,0,1,0,0,1,B
B450,14,4.666666667,24/04/2019, add_plug,16/06/2019, set_ssid,4,6,3,54,1,14,1,0,0,0,0,0,0,0,1,B
B453,39,13,24/04/2019, add_plug,05/06/2019, set_ssid,4,6,3,43,1,25,3,1,0,0,0,0,0,0,1,B
B457,3,3,25/04/2019, login,25/04/2019, registration,4,4,1,1,3,66,0,0,0,0,0,1,0,0,0,B
B459,93,31,26/04/2019, add_plug,27/06/2019, set_ssid,4,6,3,63,1,3,1,0,0,0,0,0,0,0,3,B
B460,1,1,27/04/2019, logout,27/04/2019, logout,4,4,1,1,3,64,0,0,0,0,0,1,1,1,0,B
B461,202,67.33333333,27/04/2019, add_plug,30/06/2019, weekly_consumption,4,6,3,65,1,0,3,1,0,0,0,0,0,1,1,B
B462,42,14,27/04/2019, add_plug,30/06/2019, set_ssid,4,6,3,65,1,0,3,1,0,0,0,0,0,0,1,B
B463,654,218,27/04/2019, add_plug,29/06/2019, weekly_consumption,4,6,3,64,1,1,3,1,0,0,0,0,0,0,1,B
B464,1,1,27/04/2019, registration,27/04/2019, registration,4,4,1,1,3,64,0,0,0,0,0,1,1,1,0,B
B465,958,319.3333333,27/04/2019, add_plug,29/06/2019, yearly_consumption,4,6,3,64,1,1,3,1,0,0,0,0,0,0,1,B
B466,4,2,22/04/2019, logout,10/05/2019, registration,4,5,2,19,2,51,0,0,0,0,0,1,0,0,0,B
B468,511,170.3333333,29/04/2019, add_plug,29/06/2019, yearly_consumption,4,6,3,62,1,1,3,1,0,0,0,0,0,0,1,B
B473,2,2,29/04/2019, logout,30/04/2019, registration,4,4,1,2,3,61,0,0,0,0,0,1,1,0,0,B
B475,116,38.66666667,29/04/2019, add_plug,30/06/2019, set_ssid,4,6,3,63,1,0,3,1,0,0,0,0,0,0,1,B
B476,224,74.66666667,30/04/2019, add_plug,29/06/2019, yearly_consumption,4,6,3,61,1,1,3,1,0,0,0,0,0,0,1,B
B477,1,1,02/05/2019, registration,02/05/2019, registration,5,5,1,1,2,59,0,0,0,0,0,1,1,0,0,B
B478,26,13,02/05/2019, add_plug,02/06/2019, set_ssid,5,6,2,32,1,28,2,0,0,0,0,0,0,0,1,B
B479,1,1,02/05/2019, registration,02/05/2019, registration,5,5,1,1,2,59,0,0,0,0,0,1,1,0,0,B
B480,1,1,03/05/2019, registration,03/05/2019, registration,5,5,1,1,2,58,0,0,0,0,0,1,1,0,0,B
B481,115,57.5,03/05/2019, add_plug,24/06/2019, weekly_consumption,5,6,2,53,1,6,2,0,0,0,0,0,0,0,1,B
B482,148,74,03/05/2019, add_plug,30/06/2019, set_ssid,5,6,2,59,1,0,2,0,0,0,0,0,0,0,1,B
B483,3,3,03/05/2019, login,03/05/2019, registration,5,5,1,1,2,58,0,0,0,0,0,1,0,0,0,B
B485,1,1,03/05/2019, registration,03/05/2019, registration,5,5,1,1,2,58,0,0,0,0,0,1,1,0,0,B
B486,229,114.5,03/05/2019, add_plug,21/06/2019, yearly_consumption,5,6,2,50,1,9,2,0,0,0,0,0,0,0,1,B
B487,28,28,03/05/2019, add_plug,06/05/2019, set_ssid,5,5,1,4,2,55,0,0,0,0,0,1,1,0,1,B
B488,38,38,03/05/2019, add_plug,04/05/2019, set_ssid,5,5,1,2,2,57,0,0,0,0,0,1,0,0,1,B
B489,237,118.5,03/05/2019, add_plug,29/06/2019, weekly_consumption,5,6,2,58,1,1,2,0,0,0,0,0,0,0,1,B
B491,1,1,03/05/2019, registration,03/05/2019, registration,5,5,1,1,2,58,0,0,0,0,0,1,0,0,0,B
B492,2,2,03/05/2019, logout,03/05/2019, registration,5,5,1,1,2,58,0,0,0,0,0,1,0,0,0,B
B493,63,31.5,04/05/2019, add_plug,28/06/2019, set_ssid,5,6,2,56,1,2,2,0,0,0,0,0,1,0,1,B
B494,30,30,04/05/2019, add_plug,14/05/2019, set_ssid,5,5,1,11,2,47,0,0,0,0,0,1,0,0,1,B
B495,4,4,05/05/2019, login,05/05/2019, registration,5,5,1,1,2,56,0,0,0,0,0,1,0,1,0,B
B496,107,53.5,06/05/2019, add_plug,15/06/2019, set_ssid,5,6,2,41,1,15,2,0,0,0,0,0,0,0,1,B
B497,1,1,07/05/2019, registration,07/05/2019, registration,5,5,1,1,2,54,0,0,0,0,0,1,0,0,0,B
B498,151,75.5,08/05/2019, add_plug,21/06/2019, yearly_consumption,5,6,2,45,1,9,2,0,0,0,0,0,0,0,2,B
B509,1,1,08/05/2019, registration,08/05/2019, registration,5,5,1,1,2,53,0,0,0,0,0,1,1,0,0,B
B510,266,133,08/05/2019, add_plug,19/06/2019, yearly_consumption,5,6,2,43,1,11,2,0,0,0,0,0,1,0,1,B
B511,2,2,09/05/2019, login,09/05/2019, registration,5,5,1,1,2,52,0,0,0,0,0,1,0,0,0,B
B512,634,317,09/05/2019, add_plug,30/06/2019, yearly_consumption,5,6,2,53,1,0,2,0,0,0,0,0,1,0,1,B
B514,95,47.5,10/05/2019, add_plug,27/06/2019, weekly_consumption,5,6,2,49,1,3,2,0,0,0,0,0,1,0,1,B
B515,93,46.5,10/05/2019, add_plug,30/06/2019, set_ssid,5,6,2,52,1,0,2,0,0,0,0,0,0,0,1,B
B518,154,77,10/05/2019, add_plug,19/06/2019, weekly_consumption,5,6,2,41,1,11,2,0,0,0,0,0,0,0,0,B
B519,20,10,11/05/2019, add_plug,23/06/2019, set_ssid,5,6,2,44,1,7,2,0,0,0,0,0,0,0,0,B
B520,97,48.5,12/05/2019, add_plug,08/06/2019, weekly_consumption,5,6,2,28,1,22,2,0,0,0,0,0,0,1,1,B
B521,1,1,12/05/2019, registration,12/05/2019, registration,5,5,1,1,2,49,0,0,0,0,0,1,0,1,0,B
B522,1,1,14/05/2019, registration,14/05/2019, registration,5,5,1,1,2,47,0,0,0,0,0,1,1,0,0,B
B523,1,1,14/05/2019, registration,14/05/2019, registration,5,5,1,1,2,47,0,0,0,0,0,1,1,0,0,B
B524,20,20,14/05/2019, add_plug,30/05/2019, update_profile,5,5,1,17,2,31,0,0,0,0,0,1,1,0,1,B
B525,836,418,14/05/2019, add_plug,30/06/2019, yearly_consumption,5,6,2,48,1,0,2,0,0,0,0,0,0,0,1,B
B526,220,110,14/05/2019, add_plug,30/06/2019, set_ssid,5,6,2,48,1,0,2,0,0,0,0,0,0,0,1,B
B529,98,49,16/05/2019, add_plug,10/06/2019, weekly_consumption,5,6,2,26,1,20,2,0,0,0,0,0,0,0,1,B
B530,1,1,17/05/2019, registration,17/05/2019, registration,5,5,1,1,2,44,0,0,0,0,0,1,0,0,0,B
B531,374,187,18/05/2019, add_plug,18/06/2019, weekly_consumption,5,6,2,32,1,12,2,0,0,0,0,0,0,0,1,B
B533,28,28,18/05/2019, add_plug,21/05/2019, set_ssid,5,5,1,4,2,40,0,0,0,0,0,1,0,1,0,B
B535,99,49.5,20/05/2019, add_plug,30/06/2019, yearly_consumption,5,6,2,42,1,0,2,0,0,0,0,0,0,0,1,B
B536,25,12.5,21/05/2019, add_plug,16/06/2019, set_ssid,5,6,2,27,1,14,2,0,0,0,0,0,0,1,1,B
B537,265,132.5,21/05/2019, add_plug,30/06/2019, weekly_consumption,5,6,2,41,1,0,2,0,0,0,0,0,0,0,1,B
B538,1,1,21/05/2019, registration,21/05/2019, registration,5,5,1,1,2,40,0,0,0,0,0,1,1,0,0,B
B540,23,11.5,22/05/2019, add_plug,06/06/2019, yearly_consumption,5,6,2,16,1,24,2,0,0,0,0,0,1,0,1,B
B541,1,1,22/05/2019, registration,22/05/2019, registration,5,5,1,1,2,39,0,0,0,0,0,1,1,0,0,B
B542,2,2,22/05/2019, login,22/05/2019, registration,5,5,1,1,2,39,0,0,0,0,0,1,0,0,0,B
B543,51,25.5,22/05/2019, add_plug,10/06/2019, set_ssid,5,6,2,20,1,20,2,0,0,0,0,0,0,0,1,B
B544,66,33,23/05/2019, add_plug,29/06/2019, set_ssid,5,6,2,38,1,1,2,0,0,0,0,0,0,0,1,B
B545,295,147.5,24/05/2019, add_plug,29/06/2019, set_ssid,5,6,2,37,1,1,2,0,0,0,0,0,0,0,1,B
B546,3,3,24/05/2019, logout,24/05/2019, registration,5,5,1,1,2,37,0,0,0,0,0,1,0,0,0,B
B547,1,1,25/05/2019, registration,25/05/2019, registration,5,5,1,1,2,36,0,0,0,0,0,1,1,1,0,B
B549,1,1,26/05/2019, registration,26/05/2019, registration,5,5,1,1,2,35,0,0,0,0,0,1,0,1,0,B
B55,17,17,03/12/2018, add_plug,03/12/2018, set_ssid,12,12,1,1,7,209,0,0,0,0,0,1,0,0,0,B
B550,410,205,28/05/2019, add_plug,12/06/2019, weekly_consumption,5,6,2,16,1,18,2,0,0,0,0,0,0,0,1,B
B551,44,22,29/05/2019, add_plug,22/06/2019, weekly_consumption,5,6,2,25,1,8,2,0,0,0,0,0,0,0,1,B
B553,1,1,30/05/2019, registration,30/05/2019, registration,5,5,1,1,2,31,0,0,0,0,0,1,1,0,0,B
B562,2,2,30/05/2019, login,31/05/2019, registration,5,5,1,2,2,30,0,0,0,0,0,1,1,0,0,B
B563,1,1,31/05/2019, login,31/05/2019, login,5,5,1,1,2,30,0,0,0,0,0,1,1,0,0,B
B564,44,44,03/06/2019, add_plug,30/06/2019, set_ssid,6,6,1,28,1,0,1,0,0,0,0,0,0,0,1,B
B57,1,1,04/12/2018, registration,04/12/2018, registration,12,12,1,1,7,208,0,0,0,0,0,1,1,0,0,B
B571,103,103,04/06/2019, add_plug,30/06/2019, set_ssid,6,6,1,27,1,0,1,0,0,0,0,0,1,0,1,B
B58,336,56,04/12/2018, add_plug,15/05/2019, yearly_consumption,12,5,6,163,2,46,0,0,0,0,0,1,0,0,1,B
B59,1,1,04/12/2018, registration,04/12/2018, registration,12,12,1,1,7,208,0,0,0,0,0,1,0,0,0,B
B60,312,44.57142857,05/12/2018, add_plug,15/06/2019, set_ssid,12,6,7,193,1,15,1,0,0,0,0,0,0,0,1,B
B61,3,3,07/12/2018, olark_chat,07/12/2018, registration,12,12,1,1,7,205,0,0,0,0,0,1,0,0,0,B
B62,1,1,07/12/2018, registration,07/12/2018, registration,12,12,1,1,7,205,0,0,0,0,0,1,0,0,0,B
B622,140,140,06/06/2019, add_plug,26/06/2019, yearly_consumption,6,6,1,21,1,4,1,0,0,0,0,0,0,0,1,B
B624,1,1,07/06/2019, registration,07/06/2019, registration,6,6,1,1,1,23,1,0,0,0,0,0,1,0,0,B
B626,3,3,07/06/2019, login,07/06/2019, registration,6,6,1,1,1,23,1,0,0,0,0,0,0,0,0,B
B63,169,24.14285714,04/12/2018, add_plug,25/06/2019, weekly_consumption,12,6,7,204,1,5,7,1,1,0,0,0,0,0,1,B
B635,22,22,10/06/2019, add_plug,28/06/2019, set_ssid,6,6,1,19,1,2,1,0,0,0,0,0,0,0,1,B
B636,12,12,11/06/2019, add_plug,11/06/2019, set_ssid,6,6,1,1,1,19,1,0,0,0,0,0,0,0,1,B
B637,1,1,11/06/2019, registration,11/06/2019, registration,6,6,1,1,1,19,1,0,0,0,0,0,1,0,0,B
